1782562301.272275	CR6bIfvZS0WrT	192.175.224.53	23577	10.28.91.33	80	tcp	http	SF	3.379454	7065	12205	3	27
1782562319.927598	Cn7zU0jiI5YjA	192.215.46.160	44297	10.223.237.113	123	udp	ntp	SF	0.519238	7636	20341	17	27
1782562340.097302	CtEOht5I06N3a	192.145.126.156	33495	10.224.61.250	25	tcp	smtp	SF	0.739109	3657	23490	17	48
1782562347.072369	CfcrikeIqB5fw	192.175.224.53	56542	10.8.44.45	123	udp	ntp	SF	2.498685	752	38123	3	42
1782562348.791777	CHqFC1bfBHimS	172.133.224.149	2955	172.184.169.248	443	tcp	ssl	SF	3.555374	2947	10318	22	11
1782562362.571975	Cqdg8dXhv9i39	172.127.213.60	28755	10.14.12.205	123	udp	ntp	SF	1.365714	2775	47264	18	46
1782562369.605282	CsT0nQ9jaMUfB	172.210.170.254	23279	192.161.62.142	53	udp	dns	SF	1.692636	12802	47876	26	43
1782562388.106465	Cver7qjLVKU9X	192.145.126.156	64329	172.141.41.221	123	udp	ntp	SF	0.678451	9721	30954	21	29
1782562402.056762	CoTSRXmRJHsVD	172.127.213.60	60521	172.67.218.39	53	udp	dns	SF	3.529138	6117	11784	22	37
1782562402.803129	CphBt8NG3AlHT	192.175.224.53	35367	192.95.201.89	123	udp	ntp	SF	2.673222	10996	12036	19	11
1782562406.912014	CT0LRH8lbejB0	192.175.224.53	5755	172.132.175.154	443	tcp	ssl	SF	3.282331	144	14246	9	45
1782562410.158593	Co9ReTnCwiNKt	192.187.250.45	17751	192.249.163.39	53	udp	dns	SF	2.942104	14347	216	19	9
1782562415.820623	CY8lb0TUGsRYZ	192.41.161.169	43285	10.100.206.161	123	udp	ntp	SF	3.437254	1297	45764	21	41
1782562417.375273	CjVNGDR4WFZzT	10.131.176.238	39160	192.75.108.40	443	tcp	ssl	SF	2.765557	14329	30432	15	46
1782562430.032863	CuewoIs4vFaEo	172.210.170.254	40218	172.100.218.26	53	udp	dns	SF	0.211532	11076	2517	18	49
1782562438.182153	C7L5kN6xV1fFY	172.185.206.224	45034	172.10.229.252	123	udp	ntp	SF	2.050271	5770	17220	24	27
1782562441.755370	CXow8SztNkUxs	172.133.224.149	29698	192.62.200.216	80	tcp	http	SF	3.656705	9267	16969	19	31
1782562442.601901	CcJXfp8waQpyH	10.131.176.238	34425	172.80.202.141	25	tcp	smtp	SF	3.324751	4848	257	3	20
1782562447.772931	CPUgWpJ7eXjmi	172.210.170.254	9919	192.196.66.53	443	tcp	ssl	SF	0.933115	12043	37441	10	33
1782562454.104112	CZ2tIAaXyubWk	172.133.224.149	6428	172.69.8.104	25	tcp	smtp	SF	1.780060	1339	3623	23	29
1782562456.514895	C0vgGlNqwsAw9	192.145.126.156	16406	172.49.255.69	53	udp	dns	SF	3.221191	1426	31726	10	35
1782562461.428393	ClFJdRtHT7VEG	172.133.224.149	21067	192.66.69.187	25	tcp	smtp	SF	4.936109	12631	48832	14	31
1782562492.552009	CI3emRxcbLubP	192.215.46.160	52019	10.154.162.107	443	tcp	ssl	SF	4.743783	9461	29661	6	15
1782562495.848354	CzVGjaOZK4mFR	172.127.213.60	58731	10.200.235.48	53	udp	dns	SF	4.091349	12023	15731	8	13
1782562499.012935	C6bhqTaUES2js	192.41.161.169	29792	192.240.3.218	123	udp	ntp	SF	4.046835	12208	9236	13	18
1782562508.813251	CQRokjKcioLjB	192.145.126.156	16062	10.20.92.93	443	tcp	ssl	SF	0.075969	13785	34089	28	32
1782562513.694599	Cqn464T1UqXmE	192.145.126.156	52449	172.168.47.134	443	tcp	ssl	SF	0.326258	5153	17258	11	21
1782562515.477406	CkHqx0C0fx4S6	192.145.126.156	35834	192.125.161.97	443	tcp	ssl	SF	0.336348	3235	46006	19	23
1782562519.753493	C9JNUk8OryCbQ	192.215.46.160	8073	10.112.113.251	25	tcp	smtp	SF	2.846020	3691	18346	19	8
1782562526.174087	ClSk1l9jE4moc	172.185.206.224	46396	192.178.246.51	123	udp	ntp	SF	3.490168	10583	10384	23	44
1782562536.232853	CSnpGBB3IxTLN	192.187.250.45	35168	10.220.53.38	25	tcp	smtp	SF	3.518046	9984	13163	10	3
1782562542.674004	Czdo3zFIA9OcO	10.131.176.238	47997	192.4.67.127	80	tcp	http	SF	0.993492	14551	664	3	31
1782562542.987130	CZPDHyJQx5O7L	172.185.206.224	24868	10.119.120.16	123	udp	ntp	SF	3.965296	6705	21372	15	14
1782562543.835460	C81RL5Yx6kNf3	172.127.213.60	56926	10.25.146.6	80	tcp	http	SF	2.685659	6296	31851	17	15
1782562552.996311	CV1sWOfOF05gC	172.210.170.254	26497	10.99.60.120	123	udp	ntp	SF	1.734579	4788	42529	26	48
1782562557.285849	COnMukK9faUnO	172.127.213.60	21408	172.176.133.79	123	udp	ntp	SF	1.852424	3313	48827	3	29
1782562568.952954	CNQvRbbgxqku0	192.215.46.160	21467	192.68.100.103	25	tcp	smtp	SF	0.730442	8469	46214	25	7
1782562575.287072	CmixaspN9D3xY	192.187.250.45	55407	172.36.163.105	53	udp	dns	SF	0.843664	11878	36860	23	28
1782562577.260933	Crvl8Jiq0yMX9	192.175.224.53	54733	10.249.38.36	443	tcp	ssl	SF	3.875963	6196	23675	28	21
1782562578.329740	CVQ6NRjRSSRYW	172.127.213.60	63084	10.47.222.134	443	tcp	ssl	SF	0.945718	2228	44828	4	18
